119:35:21|AS16-113-18325|||LM pan|NASA
119:35:25|AS16-113-18326|||LM pan|NASA
119:35:29|AS16-113-18327|||LM pan|NASA
119:35:33|AS16-113-18328|||LM pan|NASA
119:35:37|AS16-113-18329|||LM pan|NASA
119:35:41|AS16-113-18330|||LM pan|NASA
119:36:25|AS16-113-18331|||LM quad 4|NASA
119:36:29|AS16-113-18332|||LM quad 4|NASA
119:36:33|AS16-113-18333|||LM quad 4|NASA
119:36:37|AS16-113-18334|||LM quad 4|NASA
119:37:18|AS16-113-18335|||LM quad 3|NASA
119:38:08|AS16-113-18336|||LM quad 3|NASA
119:39:12|AS16-113-18337|||LM quad 3|NASA
119:39:20|AS16-113-18338|||LM quad 3|NASA
120:18:57|AS16-124-19839|||South wall of Ptolemaeus|NASA
120:19:00|AS16-124-19840|||South wall of Ptolemaeus|NASA
120:19:04|AS16-124-19841|||South wall of Ptolemaeus|NASA
120:19:07|AS16-124-19842|||South wall of Ptolemaeus|NASA
120:19:11|AS16-124-19843|||South wall of Ptolemaeus|NASA
120:19:15|AS16-124-19844|||Floor of Ptolemaeus|NASA
120:25:43|AS16-113-18339|||LM, and CDR and flag|NASA
120:25:51|AS16-113-18340|||LM, and CDR and flag|NASA
120:26:15|AS16-113-18341|||LM, and LMP and flag|NASA
120:26:18|AS16-113-18342|||LM, and LMP and flag|NASA
120:26:20|AS16-113-18343|||LM, and CDR and flag|NASA
120:53:10|AS16-113-18344|||ALSEP, LRV seat & large rock|NASA
122:05:50|AS16-113-18345|||ALSEP, geophone line|NASA
122:06:30|AS16-113-18346|||ALSEP, seismometer|NASA
122:08:50|AS16-113-18347|||ALSEP seismometer & central station|NASA
122:09:30|AS16-113-18348|||ALSEP, central station|NASA
122:13:00|AS16-113-18349|||ALSEP, pan & magnetometer|NASA
122:13:02|AS16-113-18350|||ALSEP, pan|NASA
122:13:04|AS16-113-18351|||ALSEP, pan|NASA
122:13:06|AS16-113-18352|||ALSEP, pan|NASA
122:13:08|AS16-113-18353|||ALSEP, pan|NASA
122:13:10|AS16-113-18354|||ALSEP, pan|NASA
122:13:12|AS16-113-18355|||ALSEP, pan|NASA
122:13:14|AS16-113-18356|||ALSEP, pan|NASA
122:13:16|AS16-113-18357|||ALSEP, pan|NASA
122:13:48|AS16-113-18358|||ALSEP, pan|NASA
122:13:53|AS16-113-18359|||ALSEP, pan|NASA
122:13:57|AS16-113-18360|||ALSEP, pan|NASA
122:14:03|AS16-113-18361|||ALSEP, pan|NASA
122:14:07|AS16-113-18362|||ALSEP, pan|NASA
122:14:15|AS16-113-18363|||ALSEP, pan|NASA
122:14:22|AS16-113-18364|||ALSEP, pan|NASA
122:14:35|AS16-113-18365|||ALSEP, pan|NASA
122:14:42|AS16-113-18366|||ALSEP, pan|NASA
122:14:47|AS16-113-18367|||ALSEP, pan|NASA
122:14:52|AS16-113-18368|||ALSEP, pan|NASA
122:14:58|AS16-113-18369|||ALSEP, pan|NASA
122:15:03|AS16-113-18370|||ALSEP, pan|NASA
122:15:18|AS16-113-18371|||ALSEP, radiothermal generator|NASA
122:15:54|AS16-113-18372|||ALSEP, magnetometer|NASA
122:18:42|AS16-124-19845|||Davy Y|NASA
122:18:45|AS16-124-19846|||Davy Y|NASA
122:18:49|AS16-124-19847|||Davy, Y|NASA
122:18:52|AS16-124-19848|||Davy, Y|NASA
122:18:55|AS16-124-19849|||Davy, Y|NASA
122:18:58|AS16-124-19850|||Davy|NASA
122:19:01|AS16-124-19851|||West wall of Davy|NASA
122:19:04|AS16-124-19852|||West wall of Davy|NASA
122:19:11|AS16-124-19853|||North of Davy|NASA
122:21:30|AS16-113-18373|||ALSEP, magnetometer|NASA
122:21:40|AS16-113-18374|||ALSEP, magnetometer|NASA
122:23:01|AS16-113-18375|||ALSEP, central station|NASA
122:39:20|AS16-114-18383|||EVA-1 ALSEP, sample 351 rock|NASA
122:39:25|AS16-114-18384|||EVA-1 ALSEP, sample 351 rock|NASA
122:42:28|AS16-113-18376|||ALSEP, mortar box|NASA
122:42:38|AS16-113-18377|||ALSEP, mortar box|NASA
122:42:55|AS16-113-18378|||ALSEP, mortar box|NASA
122:43:03|AS16-113-18379|||ALSEP, mortar box|NASA
122:43:18|AS16-113-18380|||ALSEP, mortar box|NASA
122:43:49|AS16-113-18381|||ALSEP, thumper imprint|NASA
122:43:56|AS16-113-18382|||ALSEP, thumper imprint|NASA
122:45:35|AS16-114-18385|||EVA-1 ALSEP, samples 355 soil & 373 rock|NASA
122:45:40|AS16-114-18386|||EVA-1 ALSEP, samples 355 soil & 373 rock|NASA
122:45:59|AS16-114-18387|||EVA-1 ALSEP, samples 355 soil & 373 rock|NASA
122:46:06|AS16-114-18388|||EVA-1 ALSEP, samples 355 soil & 373 rock|NASA
122:49:48|AS16-109-17746|||EVA-1, ALSEP, LRV closeup|NASA
122:58:20|AS16-109-17747|||EVA-1, LRV traverse, ALSEP to station 1|NASA
122:58:28|AS16-109-17748|||EVA-1, LRV traverse, ALSEP to station 1|NASA
122:59:10|AS16-109-17749|||EVA-1, LRV traverse, ALSEP to station 1|NASA
122:59:37|AS16-109-17750|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:00:12|AS16-109-17751|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:00:40|AS16-109-17752|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:01:02|AS16-109-17753|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:01:12|AS16-109-17754|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:01:23|AS16-109-17755|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:01:46|AS16-109-17756|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:02:34|AS16-109-17757|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:03:26|AS16-109-17758|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:03:50|AS16-109-17759|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:04:53|AS16-109-17760|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:05:35|AS16-109-17761|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:06:23|AS16-109-17762|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:06:54|AS16-109-17763|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:07:44|AS16-109-17764|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:08:34|AS16-109-17765|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:09:15|AS16-109-17766|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:09:56|AS16-109-17767|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:11:02|AS16-109-17768|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:18:40|AS16-109-17769|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:18:50|AS16-109-17770|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:19:14|AS16-109-17771|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:20:04|AS16-109-17772|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:20:22|AS16-109-17773|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:21:33|AS16-109-17774|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:24:05|AS16-120-19193|||South west of Mills|NASA
123:26:10|AS16-109-17775|||EVA-1, station 1, pan|NASA
123:26:16|AS16-109-17776|||EVA-1, station 1, pan|NASA
123:26:22|AS16-109-17777|||EVA-1, station 1, pan|NASA
123:26:27|AS16-109-17778|||EVA-1, station 1, pan|NASA
123:26:33|AS16-109-17779|||EVA-1, station 1, pan|NASA
123:26:39|AS16-109-17780|||EVA-1, station 1, pan|NASA
123:26:45|AS16-109-17781|||EVA-1, station 1, pan|NASA
123:26:50|AS16-109-17782|||EVA-1, station 1, pan|NASA
123:26:56|AS16-109-17783|||EVA-1, station 1, pan|NASA
123:27:02|AS16-109-17784|||EVA-1, station 1, pan|NASA
123:27:08|AS16-109-17785|||EVA-1, station 1, pan|NASA
123:27:14|AS16-109-17786|||EVA-1, station 1, pan|NASA
123:27:19|AS16-109-17787|||EVA-1, station 1, pan|NASA
123:27:24|AS16-109-17788|||EVA-1, station 1, pan|NASA
123:27:30|AS16-109-17789|||EVA-1, station 1, pan|NASA
123:27:36|AS16-109-17790|||EVA-1, station 1, pan|NASA
123:27:43|AS16-109-17791|||EVA-1, station 1, pan|NASA
123:27:50|AS16-109-17792|||EVA-1, station 1, pan|NASA
123:27:56|AS16-109-17793|||EVA-1, station 1, pan|NASA
123:30:12|AS16-109-17794|||EVA-1, station 1, samples 372 rake, 354 soil|NASA
123:30:28|AS16-114-18389|||EVA-1 , station 1, sample 372 rake|NASA
123:30:32|AS16-114-18390|||EVA-1 , station 1, sample 372 rake|NASA
123:30:37|AS16-114-18391|||EVA-1 , station 1, sample 372 rake|NASA
123:30:38|AS16-109-17795|||EVA-1, station 1, samples 372 rake, 354 soil|NASA
123:32:25|AS16-114-18392|||EVA-1 , station 1, sample 372 rake|NASA
123:33:10|AS16-114-18393|||EVA-1 , station 1, sample 372 rake|NASA
123:33:36|AS16-114-18394|||EVA-1 , station 1, sample 372 rake|NASA
123:35:50|AS16-114-18395|||EVA-1, station1, sample 354 soil|NASA
123:36:55|AS16-114-18396|||EVA-1, station 1, samples 371 rock & 363 soil|NASA
123:37:05|AS16-114-18397|||EVA-1, station 1, samples 371 rock & 363 soil|NASA
123:37:44|AS16-109-17796|||EVA-1, station 1, samples 371 rock, 363 soil|NASA
123:39:20|AS16-109-17797|||EVA-1, station 1, samples 371 rock, 363 soil|NASA
123:40:34|AS16-114-18398|||EVA-1, station 1, samples 371 rock & 363 soil|NASA
123:40:40|AS16-114-18399|||EVA-1, station 1, samples 371 rock & 363 soil|NASA
123:41:08|AS16-109-17798|||EVA-1, station 1, samples 364 rock, 356 soil|NASA
123:41:20|AS16-114-18400|||EVA-1, station 1, samples 364 rock 356 soil|NASA
123:41:25|AS16-114-18401|||EVA-1, station 1, samples 364 rock 356 soil|NASA
123:42:34|AS16-114-18402|||EVA-1, station 1, samples 364 rock 356 soil|NASA
123:44:48|AS16-114-18403|||EVA-1, station 1, samples 364 rock 356 soil|NASA
123:45:45|AS16-109-17799|||EVA-1, station 1, samples 362 rock, 002, rock, 369 soil|NASA
123:46:08|AS16-114-18404|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
123:46:15|AS16-114-18405|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
123:46:17|AS16-109-17800|||EVA-1, station 1, samples 362 rock, 002, rock, 369 soil|NASA
123:47:51|AS16-114-18406|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
123:49:58|AS16-114-18407|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
